#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.26417  0.22787 -0.05871 -1.07617  0.000000  0.000000  0.000000     0.886
   1.27995  0.24365 -0.05924 -1.07779  0.000000  0.000000  0.000000     0.886
   1.29583  0.25952 -0.05963 -1.07896  0.000000  0.000000  0.000000     0.886
   1.31180  0.27549 -0.05988 -1.07935  0.000000  0.000000  0.000000     0.885
   1.32784  0.29153 -0.06000 -1.07946  0.000000  0.000000  0.000000     0.885
   1.34396  0.30765 -0.06000 -1.07910  0.000000  0.000000  0.000000     0.886
   1.36014  0.32382 -0.05989 -1.07835  0.000000  0.000000  0.000000     0.886
   1.37637  0.34006 -0.05967 -1.07735  0.000000  0.000000  0.000000     0.886
   1.39266  0.35634 -0.05935 -1.07593  0.000000  0.000000  0.000000     0.886
   1.40899  0.37267 -0.05893 -1.07460  0.000000  0.000000  0.000000     0.886
   1.42537  0.38904 -0.05842 -1.07265  0.000000  0.000000  0.000000     0.887
   1.44180  0.40545 -0.05782 -1.07091  0.000000  0.000000  0.000000     0.887
   1.45825  0.42190 -0.05714 -1.06871  0.000000  0.000000  0.000000     0.888
   1.47475  0.43838 -0.05639 -1.06650  0.000000  0.000000  0.000000     0.888
   1.49128  0.45488 -0.05555 -1.06416  0.000000  0.000000  0.000000     0.889
   1.50783  0.47142 -0.05465 -1.06167  0.000000  0.000000  0.000000     0.889
   1.52442  0.48797 -0.05368 -1.05919  0.000000  0.000000  0.000000     0.890
   1.54103  0.50455 -0.05265 -1.05645  0.000000  0.000000  0.000000     0.890
   1.55767  0.52115 -0.05156 -1.05381  0.000000  0.000000  0.000000     0.891
   1.57432  0.53777 -0.05041 -1.05098  0.000000  0.000000  0.000000     0.892
   1.59100  0.55441 -0.04920 -1.04816  0.000000  0.000000  0.000000     0.892
   1.60770  0.57105 -0.04794 -1.04515  0.000000  0.000000  0.000000     0.893
   1.62441  0.58772 -0.04663 -1.04231  0.000000  0.000000  0.000000     0.893
   1.64114  0.60439 -0.04527 -1.03909  0.000000  0.000000  0.000000     0.894
   1.65788  0.62107 -0.04387 -1.03606  0.000000  0.000000  0.000000     0.895
   1.67464  0.63777 -0.04242 -1.03290  0.000000  0.000000  0.000000     0.895
   1.69141  0.65446 -0.04092 -1.02967  0.000000  0.000000  0.000000     0.896
   1.70818  0.67117 -0.03939 -1.02627  0.000000  0.000000  0.000000     0.897
   1.72497  0.68788 -0.03781 -1.02284  0.000000  0.000000  0.000000     0.897
   1.74176  0.70459 -0.03619 -1.01920  0.000000  0.000000  0.000000     0.898
   1.75856  0.72131 -0.03453 -1.01575  0.000000  0.000000  0.000000     0.899
   1.77536  0.73803 -0.03284 -1.01176  0.000000  0.000000  0.000000     0.900
   1.79216  0.75474 -0.03111 -1.00785  0.000000  0.000000  0.000000     0.900
   1.80897  0.77146 -0.02934 -1.00364  0.000000  0.000000  0.000000     0.901
   1.82578  0.78817 -0.02753 -0.99912  0.000000  0.000000  0.000000     0.902
   1.84259  0.80487 -0.02569 -0.99460  0.000000  0.000000  0.000000     0.903
   1.85939  0.82157 -0.02381 -0.98955  0.000000  0.000000  0.000000     0.904
   1.87619  0.83826 -0.02190 -0.98402  0.000000  0.000000  0.000000     0.905
   1.89298  0.85494 -0.01994 -0.97817  0.000000  0.000000  0.000000     0.906
   1.90975  0.87159 -0.01796 -0.97155  0.000000  0.000000  0.000000     0.908
   1.92648  0.88820 -0.01594 -0.96440  0.000000  0.000000  0.000000     0.909
   1.94314  0.90473 -0.01389 -0.95606  0.000000  0.000000  0.000000     0.911
   1.95965  0.92111 -0.01182 -0.94642  0.000000  0.000000  0.000000     0.912
   1.97586  0.93719 -0.00974 -0.93499  0.000000  0.000000  0.000000     0.915
   1.99151  0.95271 -0.00771 -0.92148  0.000000  0.000000  0.000000     0.917
   2.00619  0.96726 -0.00576 -0.90429  0.000000  0.000000  0.000000     0.920
   2.01942  0.98036 -0.00398 -0.88127  0.000000  0.000000  0.000000     0.924
   2.03084  0.99168 -0.00242 -0.85215  0.000000  0.000000  0.000000     0.929
   2.03924  1.00000 -0.00126 -0.74222  0.000000  0.000000  0.000000     0.947
