#    s        x        y     Ue/Vinf    Dstar     Theta      Cf       H
   1.80897  0.77146 -0.02934 -1.09877  0.026225  0.008517  0.006719     2.891
   1.82578  0.78817 -0.02753 -1.09664  0.026708  0.008644  0.006481     2.902
   1.84259  0.80487 -0.02569 -1.09451  0.027192  0.008771  0.006250     2.913
   1.85939  0.82157 -0.02381 -1.09240  0.027682  0.008897  0.006023     2.925
   1.87619  0.83826 -0.02190 -1.09030  0.028179  0.009023  0.005799     2.937
   1.89298  0.85494 -0.01994 -1.08821  0.028682  0.009148  0.005579     2.949
   1.90975  0.87159 -0.01796 -1.08613  0.029192  0.009273  0.005362     2.962
   1.92648  0.88820 -0.01594 -1.08406  0.029708  0.009398  0.005149     2.976
   1.94314  0.90473 -0.01389 -1.08200  0.030234  0.009522  0.004938     2.990
   1.95965  0.92111 -0.01182 -1.07997  0.030764  0.009645  0.004730     3.005
   1.97586  0.93719 -0.00974 -1.07798  0.031297  0.009765  0.004526     3.020
   1.99151  0.95271 -0.00771 -1.07607  0.031820  0.009882  0.004332     3.035
   2.00619  0.96726 -0.00576 -1.07428  0.032323  0.009991  0.004150     3.051
   2.01942  0.98036 -0.00398 -1.07267  0.032779  0.010089  0.003991     3.065
   2.03084  0.99168 -0.00242 -1.07129  0.033183  0.010174  0.003852     3.077
   2.03924  1.00000 -0.00126 -1.07038  0.033384  0.010231  0.003814     3.079
   2.03924  1.00010  0.00000  1.07038  0.129462  0.021020  0.000000     5.884
   2.04765  1.00850  0.00001  1.06862  0.128707  0.021291  0.000000     5.774
   2.05731  1.01817  0.00005  1.06628  0.127707  0.021653  0.000000     5.633
   2.06843  1.02928  0.00011  1.06353  0.126510  0.022079  0.000000     5.471
   2.08121  1.04207  0.00021  1.06029  0.125087  0.022580  0.000000     5.289
   2.09592  1.05677  0.00034  1.05646  0.123405  0.023172  0.000000     5.083
   2.11283  1.07368  0.00052  1.05190  0.121420  0.023876  0.000000     4.852
   2.13228  1.09313  0.00076  1.04645  0.119084  0.024718  0.000000     4.595
   2.15465  1.11550  0.00107  1.03994  0.116344  0.025725  0.000000     4.312
   2.18038  1.14123  0.00145  1.03253  0.113124  0.026872  0.000000     4.011
   2.20997  1.17082  0.00195  1.02486  0.109329  0.028057  0.000000     3.710
   2.24400  1.20484  0.00257  1.01662  0.104934  0.029325  0.000000     3.404
   2.28315  1.24398  0.00334  1.00800  0.099904  0.030643  0.000000     3.098
   2.32817  1.28899  0.00430  0.99932  0.094240  0.031956  0.000000     2.798
   2.37995  1.34075  0.00549  0.99106  0.088005  0.033187  0.000000     2.511
   2.43950  1.40029  0.00695  0.98382  0.081342  0.034242  0.000000     2.244
   2.50799  1.46876  0.00875  0.97831  0.074492  0.035023  0.000000     2.004
   2.58676  1.54750  0.01094  0.97507  0.067778  0.035464  0.000000     1.794
   2.67736  1.63806  0.01361  0.97434  0.061541  0.035560  0.000000     1.619
   2.78156  1.74221  0.01685  0.97590  0.056036  0.035366  0.000000     1.476
   2.90141  1.86199  0.02076  0.97935  0.051347  0.034958  0.000000     1.363
   3.03924  1.99974  0.02547  0.99604  0.045277  0.033132  0.000000     1.259
